year,state_orig,state_dest,sctg2,sctg2_description,value
2012,HI,VA,5,"Meat, poultry, fish, seafood, and preparations",5.94
2017,HI,VA,5,"Meat, poultry, fish, seafood, and preparations",6.68
2012,HI,VA,7,Other prepared foodstuffs and preparations,0.56
2017,HI,VA,7,Other prepared foodstuffs and preparations,0.60
2012,HI,WA,3,"Agricultural products (excl. feed, grains, and forage)",3.06
2017,HI,WA,3,"Agricultural products (excl. feed, grains, and forage)",3.18
2012,HI,WA,5,"Meat, poultry, fish, seafood, and preparations",3.09
2017,HI,WA,5,"Meat, poultry, fish, seafood, and preparations",3.48
2012,HI,WA,7,Other prepared foodstuffs and preparations,1.26
2017,HI,WA,7,Other prepared foodstuffs and preparations,1.34
2012,HI,WI,3,"Agricultural products (excl. feed, grains, and forage)",0.33
2017,HI,WI,3,"Agricultural products (excl. feed, grains, and forage)",0.34
2012,HI,WI,7,Other prepared foodstuffs and preparations,0.41
2017,HI,WI,7,Other prepared foodstuffs and preparations,0.43
2012,HI,WV,5,"Meat, poultry, fish, seafood, and preparations",0.75
2017,HI,WV,5,"Meat, poultry, fish, seafood, and preparations",0.85
2012,IA,AL,2,Cereal grains and seed,18.22
2017,IA,AL,2,Cereal grains and seed,25.28
2012,IA,AL,4,"Animal feed, eggs, honey, other products of animal origin",9.12
2017,IA,AL,4,"Animal feed, eggs, honey, other products of animal origin",10.03
2012,IA,AL,5,"Meat, poultry, fish, seafood, and preparations",107.61
2017,IA,AL,5,"Meat, poultry, fish, seafood, and preparations",117.68
2012,IA,AL,6,Milled grain products and preparations and bakery products,21.05
2017,IA,AL,6,Milled grain products and preparations and bakery products,21.93
2012,IA,AL,7,Other prepared foodstuffs and preparations,54.43
2017,IA,AL,7,Other prepared foodstuffs and preparations,56.54
2012,IA,AR,4,"Animal feed, eggs, honey, other products of animal origin",146.44
2017,IA,AR,4,"Animal feed, eggs, honey, other products of animal origin",161.12
2012,IA,AR,5,"Meat, poultry, fish, seafood, and preparations",31.00
2017,IA,AR,5,"Meat, poultry, fish, seafood, and preparations",33.90
2012,IA,AR,6,Milled grain products and preparations and bakery products,19.00
2017,IA,AR,6,Milled grain products and preparations and bakery products,19.79
2012,IA,AR,7,Other prepared foodstuffs and preparations,134.20
2017,IA,AR,7,Other prepared foodstuffs and preparations,139.41
2012,IA,AZ,2,Cereal grains and seed,59.38
2017,IA,AZ,2,Cereal grains and seed,82.40
2012,IA,AZ,3,"Agricultural products (excl. feed, grains, and forage)",1.17
2017,IA,AZ,3,"Agricultural products (excl. feed, grains, and forage)",1.45
2012,IA,AZ,4,"Animal feed, eggs, honey, other products of animal origin",46.66
2017,IA,AZ,4,"Animal feed, eggs, honey, other products of animal origin",51.34
2012,IA,AZ,5,"Meat, poultry, fish, seafood, and preparations",31.78
2017,IA,AZ,5,"Meat, poultry, fish, seafood, and preparations",34.76
2012,IA,AZ,6,Milled grain products and preparations and bakery products,59.96
2017,IA,AZ,6,Milled grain products and preparations and bakery products,62.45
2012,IA,AZ,7,Other prepared foodstuffs and preparations,129.60
2017,IA,AZ,7,Other prepared foodstuffs and preparations,134.63
2012,IA,CA,3,"Agricultural products (excl. feed, grains, and forage)",13.36
2017,IA,CA,3,"Agricultural products (excl. feed, grains, and forage)",16.58
2012,IA,CA,4,"Animal feed, eggs, honey, other products of animal origin",134.80
2017,IA,CA,4,"Animal feed, eggs, honey, other products of animal origin",148.32
2012,IA,CA,5,"Meat, poultry, fish, seafood, and preparations",436.26
2017,IA,CA,5,"Meat, poultry, fish, seafood, and preparations",477.10
2012,IA,CA,6,Milled grain products and preparations and bakery products,464.70
2017,IA,CA,6,Milled grain products and preparations and bakery products,484.05
2012,IA,CA,7,Other prepared foodstuffs and preparations,1021.52
2017,IA,CA,7,Other prepared foodstuffs and preparations,1061.17
2012,IA,CO,4,"Animal feed, eggs, honey, other products of animal origin",92.67
2017,IA,CO,4,"Animal feed, eggs, honey, other products of animal origin",101.96
2012,IA,CO,5,"Meat, poultry, fish, seafood, and preparations",61.99
2017,IA,CO,5,"Meat, poultry, fish, seafood, and preparations",67.79
2012,IA,CO,6,Milled grain products and preparations and bakery products,42.15
2017,IA,CO,6,Milled grain products and preparations and bakery products,43.91
2012,IA,CO,7,Other prepared foodstuffs and preparations,194.76
2017,IA,CO,7,Other prepared foodstuffs and preparations,202.32
2012,IA,CT,5,"Meat, poultry, fish, seafood, and preparations",44.79
2017,IA,CT,5,"Meat, poultry, fish, seafood, and preparations",48.98
2012,IA,CT,6,Milled grain products and preparations and bakery products,37.46
2017,IA,CT,6,Milled grain products and preparations and bakery products,39.02
2012,IA,CT,7,Other prepared foodstuffs and preparations,61.03
2017,IA,CT,7,Other prepared foodstuffs and preparations,63.40
2012,IA,DE,4,"Animal feed, eggs, honey, other products of animal origin",1.44
2017,IA,DE,4,"Animal feed, eggs, honey, other products of animal origin",1.58
2012,IA,DE,5,"Meat, poultry, fish, seafood, and preparations",27.12
2017,IA,DE,5,"Meat, poultry, fish, seafood, and preparations",29.65
2012,IA,FL,2,Cereal grains and seed,0.01
2017,IA,FL,2,Cereal grains and seed,0.01
2012,IA,FL,4,"Animal feed, eggs, honey, other products of animal origin",27.11
2017,IA,FL,4,"Animal feed, eggs, honey, other products of animal origin",29.83
2012,IA,FL,5,"Meat, poultry, fish, seafood, and preparations",149.64
2017,IA,FL,5,"Meat, poultry, fish, seafood, and preparations",163.65
2012,IA,FL,6,Milled grain products and preparations and bakery products,26.23
2017,IA,FL,6,Milled grain products and preparations and bakery products,27.32
2012,IA,FL,7,Other prepared foodstuffs and preparations,141.60
2017,IA,FL,7,Other prepared foodstuffs and preparations,147.10
2012,IA,GA,3,"Agricultural products (excl. feed, grains, and forage)",3.00
2017,IA,GA,3,"Agricultural products (excl. feed, grains, and forage)",3.73
2012,IA,GA,4,"Animal feed, eggs, honey, other products of animal origin",110.93
2017,IA,GA,4,"Animal feed, eggs, honey, other products of animal origin",122.05
2012,IA,GA,5,"Meat, poultry, fish, seafood, and preparations",110.43
2017,IA,GA,5,"Meat, poultry, fish, seafood, and preparations",120.77
2012,IA,GA,6,Milled grain products and preparations and bakery products,282.22
2017,IA,GA,6,Milled grain products and preparations and bakery products,293.97
2012,IA,GA,7,Other prepared foodstuffs and preparations,333.93
2017,IA,GA,7,Other prepared foodstuffs and preparations,346.89
2012,IA,HI,5,"Meat, poultry, fish, seafood, and preparations",26.38
2017,IA,HI,5,"Meat, poultry, fish, seafood, and preparations",28.85
2012,IA,HI,7,Other prepared foodstuffs and preparations,0.01
2017,IA,HI,7,Other prepared foodstuffs and preparations,0.01
2012,IA,ID,4,"Animal feed, eggs, honey, other products of animal origin",94.41
2017,IA,ID,4,"Animal feed, eggs, honey, other products of animal origin",103.88
2012,IA,ID,5,"Meat, poultry, fish, seafood, and preparations",11.00
2017,IA,ID,5,"Meat, poultry, fish, seafood, and preparations",12.03
2012,IA,ID,7,Other prepared foodstuffs and preparations,153.00
2017,IA,ID,7,Other prepared foodstuffs and preparations,158.94
2012,IA,IL,1,Animals & fish (live),99.19
2017,IA,IL,1,Animals & fish (live),109.72
2012,IA,IL,2,Cereal grains and seed,75.08
2017,IA,IL,2,Cereal grains and seed,104.19
2012,IA,IL,3,"Agricultural products (excl. feed, grains, and forage)",755.91
2017,IA,IL,3,"Agricultural products (excl. feed, grains, and forage)",938.30
2012,IA,IL,4,"Animal feed, eggs, honey, other products of animal origin",1196.26
2017,IA,IL,4,"Animal feed, eggs, honey, other products of animal origin",1316.22
2012,IA,IL,5,"Meat, poultry, fish, seafood, and preparations",1237.51
2017,IA,IL,5,"Meat, poultry, fish, seafood, and preparations",1353.36
2012,IA,IL,6,Milled grain products and preparations and bakery products,831.90
2017,IA,IL,6,Milled grain products and preparations and bakery products,866.53
2012,IA,IL,7,Other prepared foodstuffs and preparations,2275.19
2017,IA,IL,7,Other prepared foodstuffs and preparations,2363.49
2012,IA,IN,2,Cereal grains and seed,0.00
2017,IA,IN,2,Cereal grains and seed,0.01
2012,IA,IN,4,"Animal feed, eggs, honey, other products of animal origin",159.19
2017,IA,IN,4,"Animal feed, eggs, honey, other products of animal origin",175.15
2012,IA,IN,5,"Meat, poultry, fish, seafood, and preparations",162.35
2017,IA,IN,5,"Meat, poultry, fish, seafood, and preparations",177.55
2012,IA,IN,6,Milled grain products and preparations and bakery products,179.01
2017,IA,IN,6,Milled grain products and preparations and bakery products,186.46
2012,IA,IN,7,Other prepared foodstuffs and preparations,246.62
2017,IA,IN,7,Other prepared foodstuffs and preparations,256.19
2012,IA,KS,1,Animals & fish (live),4.72
2017,IA,KS,1,Animals & fish (live),5.22
2012,IA,KS,2,Cereal grains and seed,10.33
2017,IA,KS,2,Cereal grains and seed,14.34
2012,IA,KS,3,"Agricultural products (excl. feed, grains, and forage)",21.98
2017,IA,KS,3,"Agricultural products (excl. feed, grains, and forage)",27.29
2012,IA,KS,4,"Animal feed, eggs, honey, other products of animal origin",145.06
2017,IA,KS,4,"Animal feed, eggs, honey, other products of animal origin",159.61
2012,IA,KS,5,"Meat, poultry, fish, seafood, and preparations",344.24
2017,IA,KS,5,"Meat, poultry, fish, seafood, and preparations",376.47
2012,IA,KS,6,Milled grain products and preparations and bakery products,68.29
2017,IA,KS,6,Milled grain products and preparations and bakery products,71.14
2012,IA,KS,7,Other prepared foodstuffs and preparations,312.36
2017,IA,KS,7,Other prepared foodstuffs and preparations,324.48
2012,IA,KY,4,"Animal feed, eggs, honey, other products of animal origin",52.21
2017,IA,KY,4,"Animal feed, eggs, honey, other products of animal origin",57.45
2012,IA,KY,5,"Meat, poultry, fish, seafood, and preparations",93.65
2017,IA,KY,5,"Meat, poultry, fish, seafood, and preparations",102.41
2012,IA,KY,6,Milled grain products and preparations and bakery products,27.06
2017,IA,KY,6,Milled grain products and preparations and bakery products,28.18
2012,IA,KY,7,Other prepared foodstuffs and preparations,24.37
2017,IA,KY,7,Other prepared foodstuffs and preparations,25.31
2012,IA,LA,2,Cereal grains and seed,561.29
2017,IA,LA,2,Cereal grains and seed,778.88
2012,IA,LA,3,"Agricultural products (excl. feed, grains, and forage)",1657.89
2017,IA,LA,3,"Agricultural products (excl. feed, grains, and forage)",2057.91
2012,IA,LA,4,"Animal feed, eggs, honey, other products of animal origin",12.13
2017,IA,LA,4,"Animal feed, eggs, honey, other products of animal origin",13.34
2012,IA,LA,5,"Meat, poultry, fish, seafood, and preparations",63.78
2017,IA,LA,5,"Meat, poultry, fish, seafood, and preparations",69.75
2012,IA,LA,6,Milled grain products and preparations and bakery products,6.06
2017,IA,LA,6,Milled grain products and preparations and bakery products,6.31
2012,IA,LA,7,Other prepared foodstuffs and preparations,123.19
2017,IA,LA,7,Other prepared foodstuffs and preparations,127.98
2012,IA,MA,4,"Animal feed, eggs, honey, other products of animal origin",12.41
2017,IA,MA,4,"Animal feed, eggs, honey, other products of animal origin",13.65
2012,IA,MA,5,"Meat, poultry, fish, seafood, and preparations",190.06
2017,IA,MA,5,"Meat, poultry, fish, seafood, and preparations",207.85
2012,IA,MA,6,Milled grain products and preparations and bakery products,45.75
2017,IA,MA,6,Milled grain products and preparations and bakery products,47.65
2012,IA,MA,7,Other prepared foodstuffs and preparations,129.00
2017,IA,MA,7,Other prepared foodstuffs and preparations,134.01
2012,IA,MD,4,"Animal feed, eggs, honey, other products of animal origin",1.81
2017,IA,MD,4,"Animal feed, eggs, honey, other products of animal origin",1.99
2012,IA,MD,5,"Meat, poultry, fish, seafood, and preparations",10.31
2017,IA,MD,5,"Meat, poultry, fish, seafood, and preparations",11.27
2012,IA,MD,6,Milled grain products and preparations and bakery products,41.17
2017,IA,MD,6,Milled grain products and preparations and bakery products,42.88
2012,IA,MD,7,Other prepared foodstuffs and preparations,15.33
2017,IA,MD,7,Other prepared foodstuffs and preparations,15.93
2012,IA,ME,4,"Animal feed, eggs, honey, other products of animal origin",4.04
2017,IA,ME,4,"Animal feed, eggs, honey, other products of animal origin",4.45
2012,IA,ME,5,"Meat, poultry, fish, seafood, and preparations",9.18
2017,IA,ME,5,"Meat, poultry, fish, seafood, and preparations",10.03
2012,IA,ME,6,Milled grain products and preparations and bakery products,38.23
2017,IA,ME,6,Milled grain products and preparations and bakery products,39.83
2012,IA,ME,7,Other prepared foodstuffs and preparations,15.20
2017,IA,ME,7,Other prepared foodstuffs and preparations,15.79
2012,IA,MI,4,"Animal feed, eggs, honey, other products of animal origin",177.63
2017,IA,MI,4,"Animal feed, eggs, honey, other products of animal origin",195.45
2012,IA,MI,5,"Meat, poultry, fish, seafood, and preparations",305.14
2017,IA,MI,5,"Meat, poultry, fish, seafood, and preparations",333.71
2012,IA,MI,6,Milled grain products and preparations and bakery products,218.08
2017,IA,MI,6,Milled grain products and preparations and bakery products,227.15
2012,IA,MI,7,Other prepared foodstuffs and preparations,164.65
2017,IA,MI,7,Other prepared foodstuffs and preparations,171.04
2012,IA,MN,1,Animals & fish (live),397.22
2017,IA,MN,1,Animals & fish (live),439.41
2012,IA,MN,2,Cereal grains and seed,1339.74
2017,IA,MN,2,Cereal grains and seed,1859.11
2012,IA,MN,3,"Agricultural products (excl. feed, grains, and forage)",2407.44
2017,IA,MN,3,"Agricultural products (excl. feed, grains, and forage)",2988.32
2012,IA,MN,4,"Animal feed, eggs, honey, other products of animal origin",657.13
2017,IA,MN,4,"Animal feed, eggs, honey, other products of animal origin",723.03
2012,IA,MN,5,"Meat, poultry, fish, seafood, and preparations",172.02
2017,IA,MN,5,"Meat, poultry, fish, seafood, and preparations",188.13
2012,IA,MN,6,Milled grain products and preparations and bakery products,76.00
2017,IA,MN,6,Milled grain products and preparations and bakery products,79.16
2012,IA,MN,7,Other prepared foodstuffs and preparations,549.63
2017,IA,MN,7,Other prepared foodstuffs and preparations,570.96
2012,IA,MO,1,Animals & fish (live),4.72
2017,IA,MO,1,Animals & fish (live),5.22
2012,IA,MO,2,Cereal grains and seed,156.10
2017,IA,MO,2,Cereal grains and seed,216.61
2012,IA,MO,3,"Agricultural products (excl. feed, grains, and forage)",895.72
2017,IA,MO,3,"Agricultural products (excl. feed, grains, and forage)",1111.84
2012,IA,MO,4,"Animal feed, eggs, honey, other products of animal origin",304.21
2017,IA,MO,4,"Animal feed, eggs, honey, other products of animal origin",334.71
2012,IA,MO,5,"Meat, poultry, fish, seafood, and preparations",382.95
2017,IA,MO,5,"Meat, poultry, fish, seafood, and preparations",418.80
2012,IA,MO,6,Milled grain products and preparations and bakery products,99.45
2017,IA,MO,6,Milled grain products and preparations and bakery products,103.59
2012,IA,MO,7,Other prepared foodstuffs and preparations,899.42
2017,IA,MO,7,Other prepared foodstuffs and preparations,934.32
2012,IA,MS,2,Cereal grains and seed,102.58
2017,IA,MS,2,Cereal grains and seed,142.35
2012,IA,MS,4,"Animal feed, eggs, honey, other products of animal origin",8.20
2017,IA,MS,4,"Animal feed, eggs, honey, other products of animal origin",9.02
2012,IA,MS,5,"Meat, poultry, fish, seafood, and preparations",6.00
2017,IA,MS,5,"Meat, poultry, fish, seafood, and preparations",6.56
2012,IA,MS,6,Milled grain products and preparations and bakery products,6.72
2017,IA,MS,6,Milled grain products and preparations and bakery products,7.00
2012,IA,MS,7,Other prepared foodstuffs and preparations,10.68
2017,IA,MS,7,Other prepared foodstuffs and preparations,11.09
2012,IA,MT,7,Other prepared foodstuffs and preparations,2.58
2017,IA,MT,7,Other prepared foodstuffs and preparations,2.68
2012,IA,NC,4,"Animal feed, eggs, honey, other products of animal origin",65.17
2017,IA,NC,4,"Animal feed, eggs, honey, other products of animal origin",71.71
2012,IA,NC,5,"Meat, poultry, fish, seafood, and preparations",39.03
2017,IA,NC,5,"Meat, poultry, fish, seafood, and preparations",42.69
2012,IA,NC,6,Milled grain products and preparations and bakery products,13.79
2017,IA,NC,6,Milled grain products and preparations and bakery products,14.37
2012,IA,NC,7,Other prepared foodstuffs and preparations,77.61
2017,IA,NC,7,Other prepared foodstuffs and preparations,80.62
2012,IA,ND,4,"Animal feed, eggs, honey, other products of animal origin",13.01
2017,IA,ND,4,"Animal feed, eggs, honey, other products of animal origin",14.32
2012,IA,ND,5,"Meat, poultry, fish, seafood, and preparations",5.00
2017,IA,ND,5,"Meat, poultry, fish, seafood, and preparations",5.47
2012,IA,ND,7,Other prepared foodstuffs and preparations,16.07
2017,IA,ND,7,Other prepared foodstuffs and preparations,16.69
2012,IA,NE,1,Animals & fish (live),3710.31
2017,IA,NE,1,Animals & fish (live),4104.39
2012,IA,NE,2,Cereal grains and seed,1172.24
2017,IA,NE,2,Cereal grains and seed,1626.68
2012,IA,NE,3,"Agricultural products (excl. feed, grains, and forage)",401.54
2017,IA,NE,3,"Agricultural products (excl. feed, grains, and forage)",498.43
2012,IA,NE,4,"Animal feed, eggs, honey, other products of animal origin",425.23
2017,IA,NE,4,"Animal feed, eggs, honey, other products of animal origin",467.87
2012,IA,NE,5,"Meat, poultry, fish, seafood, and preparations",560.00
2017,IA,NE,5,"Meat, poultry, fish, seafood, and preparations",612.43
2012,IA,NE,6,Milled grain products and preparations and bakery products,9.74
2017,IA,NE,6,Milled grain products and preparations and bakery products,10.15
2012,IA,NE,7,Other prepared foodstuffs and preparations,401.65
2017,IA,NE,7,Other prepared foodstuffs and preparations,417.24
2012,IA,NH,5,"Meat, poultry, fish, seafood, and preparations",2.03
2017,IA,NH,5,"Meat, poultry, fish, seafood, and preparations",2.22
2012,IA,NH,7,Other prepared foodstuffs and preparations,19.54
2017,IA,NH,7,Other prepared foodstuffs and preparations,20.30
2012,IA,NJ,4,"Animal feed, eggs, honey, other products of animal origin",3.31
2017,IA,NJ,4,"Animal feed, eggs, honey, other products of animal origin",3.65
2012,IA,NJ,5,"Meat, poultry, fish, seafood, and preparations",135.14
2017,IA,NJ,5,"Meat, poultry, fish, seafood, and preparations",147.79
2012,IA,NJ,6,Milled grain products and preparations and bakery products,92.81
2017,IA,NJ,6,Milled grain products and preparations and bakery products,96.67
2012,IA,NJ,7,Other prepared foodstuffs and preparations,116.41
2017,IA,NJ,7,Other prepared foodstuffs and preparations,120.92
2012,IA,NM,4,"Animal feed, eggs, honey, other products of animal origin",6.78
2017,IA,NM,4,"Animal feed, eggs, honey, other products of animal origin",7.46
2012,IA,NM,5,"Meat, poultry, fish, seafood, and preparations",63.01
2017,IA,NM,5,"Meat, poultry, fish, seafood, and preparations",68.91
2012,IA,NM,7,Other prepared foodstuffs and preparations,25.02
2017,IA,NM,7,Other prepared foodstuffs and preparations,25.99
2012,IA,NV,4,"Animal feed, eggs, honey, other products of animal origin",5.62
2017,IA,NV,4,"Animal feed, eggs, honey, other products of animal origin",6.18
2012,IA,NV,5,"Meat, poultry, fish, seafood, and preparations",66.17
2017,IA,NV,5,"Meat, poultry, fish, seafood, and preparations",72.36
2012,IA,NV,7,Other prepared foodstuffs and preparations,15.14
2017,IA,NV,7,Other prepared foodstuffs and preparations,15.73
2012,IA,NY,4,"Animal feed, eggs, honey, other products of animal origin",58.69
2017,IA,NY,4,"Animal feed, eggs, honey, other products of animal origin",64.58
2012,IA,NY,5,"Meat, poultry, fish, seafood, and preparations",107.27
2017,IA,NY,5,"Meat, poultry, fish, seafood, and preparations",117.31
2012,IA,NY,6,Milled grain products and preparations and bakery products,134.21
2017,IA,NY,6,Milled grain products and preparations and bakery products,139.80
2012,IA,NY,7,Other prepared foodstuffs and preparations,217.66
2017,IA,NY,7,Other prepared foodstuffs and preparations,226.11
2012,IA,OH,2,Cereal grains and seed,8.04
2017,IA,OH,2,Cereal grains and seed,11.15
2012,IA,OH,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2017,IA,OH,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2012,IA,OH,4,"Animal feed, eggs, honey, other products of animal origin",135.25
2017,IA,OH,4,"Animal feed, eggs, honey, other products of animal origin",148.82
2012,IA,OH,5,"Meat, poultry, fish, seafood, and preparations",451.16
2017,IA,OH,5,"Meat, poultry, fish, seafood, and preparations",493.39
2012,IA,OH,6,Milled grain products and preparations and bakery products,170.48
2017,IA,OH,6,Milled grain products and preparations and bakery products,177.57
2012,IA,OH,7,Other prepared foodstuffs and preparations,200.51
2017,IA,OH,7,Other prepared foodstuffs and preparations,208.30
2012,IA,OK,4,"Animal feed, eggs, honey, other products of animal origin",130.84
2017,IA,OK,4,"Animal feed, eggs, honey, other products of animal origin",143.96
2012,IA,OK,5,"Meat, poultry, fish, seafood, and preparations",259.67
2017,IA,OK,5,"Meat, poultry, fish, seafood, and preparations",283.98
2012,IA,OK,6,Milled grain products and preparations and bakery products,44.74
2017,IA,OK,6,Milled grain products and preparations and bakery products,46.60
2012,IA,OK,7,Other prepared foodstuffs and preparations,89.49
2017,IA,OK,7,Other prepared foodstuffs and preparations,92.96
2012,IA,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.00
2017,IA,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.00
2012,IA,OR,5,"Meat, poultry, fish, seafood, and preparations",46.00
2017,IA,OR,5,"Meat, poultry, fish, seafood, and preparations",50.31
2012,IA,OR,6,Milled grain products and preparations and bakery products,20.39
2017,IA,OR,6,Milled grain products and preparations and bakery products,21.23
2012,IA,OR,7,Other prepared foodstuffs and preparations,124.03
2017,IA,OR,7,Other prepared foodstuffs and preparations,128.84
2012,IA,PA,3,"Agricultural products (excl. feed, grains, and forage)",6.30
2017,IA,PA,3,"Agricultural products (excl. feed, grains, and forage)",7.82
2012,IA,PA,4,"Animal feed, eggs, honey, other products of animal origin",200.22
2017,IA,PA,4,"Animal feed, eggs, honey, other products of animal origin",220.30
2012,IA,PA,5,"Meat, poultry, fish, seafood, and preparations",172.99
2017,IA,PA,5,"Meat, poultry, fish, seafood, and preparations",189.19
2012,IA,PA,6,Milled grain products and preparations and bakery products,278.59
2017,IA,PA,6,Milled grain products and preparations and bakery products,290.18
2012,IA,PA,7,Other prepared foodstuffs and preparations,374.48
2017,IA,PA,7,Other prepared foodstuffs and preparations,389.02
2012,IA,RI,5,"Meat, poultry, fish, seafood, and preparations",0.87
2017,IA,RI,5,"Meat, poultry, fish, seafood, and preparations",0.95
2012,IA,SC,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2017,IA,SC,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2012,IA,SC,4,"Animal feed, eggs, honey, other products of animal origin",39.27
2017,IA,SC,4,"Animal feed, eggs, honey, other products of animal origin",43.21
2012,IA,SC,5,"Meat, poultry, fish, seafood, and preparations",21.73
2017,IA,SC,5,"Meat, poultry, fish, seafood, and preparations",23.77
2012,IA,SC,6,Milled grain products and preparations and bakery products,44.15
2017,IA,SC,6,Milled grain products and preparations and bakery products,45.98
2012,IA,SC,7,Other prepared foodstuffs and preparations,50.08
2017,IA,SC,7,Other prepared foodstuffs and preparations,52.02
2012,IA,SD,2,Cereal grains and seed,11.91
2017,IA,SD,2,Cereal grains and seed,16.52
2012,IA,SD,3,"Agricultural products (excl. feed, grains, and forage)",29.90
2017,IA,SD,3,"Agricultural products (excl. feed, grains, and forage)",37.12
2012,IA,SD,4,"Animal feed, eggs, honey, other products of animal origin",78.49
2017,IA,SD,4,"Animal feed, eggs, honey, other products of animal origin",86.36
2012,IA,SD,5,"Meat, poultry, fish, seafood, and preparations",2.61
2017,IA,SD,5,"Meat, poultry, fish, seafood, and preparations",2.85
2012,IA,SD,7,Other prepared foodstuffs and preparations,112.02
2017,IA,SD,7,Other prepared foodstuffs and preparations,116.36
2012,IA,TN,4,"Animal feed, eggs, honey, other products of animal origin",45.09
2017,IA,TN,4,"Animal feed, eggs, honey, other products of animal origin",49.61
2012,IA,TN,5,"Meat, poultry, fish, seafood, and preparations",241.08
2017,IA,TN,5,"Meat, poultry, fish, seafood, and preparations",263.65
2012,IA,TN,6,Milled grain products and preparations and bakery products,53.45
2017,IA,TN,6,Milled grain products and preparations and bakery products,55.68
2012,IA,TN,7,Other prepared foodstuffs and preparations,184.89
2017,IA,TN,7,Other prepared foodstuffs and preparations,192.06
2012,IA,TX,2,Cereal grains and seed,4.56
2017,IA,TX,2,Cereal grains and seed,6.32
2012,IA,TX,3,"Agricultural products (excl. feed, grains, and forage)",189.59
2017,IA,TX,3,"Agricultural products (excl. feed, grains, and forage)",235.33
2012,IA,TX,4,"Animal feed, eggs, honey, other products of animal origin",482.88
2017,IA,TX,4,"Animal feed, eggs, honey, other products of animal origin",531.30
2012,IA,TX,5,"Meat, poultry, fish, seafood, and preparations",884.14
2017,IA,TX,5,"Meat, poultry, fish, seafood, and preparations",966.91
2012,IA,TX,6,Milled grain products and preparations and bakery products,266.02
2017,IA,TX,6,Milled grain products and preparations and bakery products,277.09
2012,IA,TX,7,Other prepared foodstuffs and preparations,899.78
2017,IA,TX,7,Other prepared foodstuffs and preparations,934.70
2012,IA,UT,4,"Animal feed, eggs, honey, other products of animal origin",29.61
2017,IA,UT,4,"Animal feed, eggs, honey, other products of animal origin",32.58
2012,IA,UT,5,"Meat, poultry, fish, seafood, and preparations",88.00
2017,IA,UT,5,"Meat, poultry, fish, seafood, and preparations",96.24
2012,IA,UT,6,Milled grain products and preparations and bakery products,29.00
2017,IA,UT,6,Milled grain products and preparations and bakery products,30.21
2012,IA,UT,7,Other prepared foodstuffs and preparations,36.00
2017,IA,UT,7,Other prepared foodstuffs and preparations,37.40
2012,IA,VA,3,"Agricultural products (excl. feed, grains, and forage)",9.15
2017,IA,VA,3,"Agricultural products (excl. feed, grains, and forage)",11.36
2012,IA,VA,4,"Animal feed, eggs, honey, other products of animal origin",29.20
2017,IA,VA,4,"Animal feed, eggs, honey, other products of animal origin",32.12
2012,IA,VA,5,"Meat, poultry, fish, seafood, and preparations",23.56
2017,IA,VA,5,"Meat, poultry, fish, seafood, and preparations",25.77
2012,IA,VA,6,Milled grain products and preparations and bakery products,32.65
2017,IA,VA,6,Milled grain products and preparations and bakery products,34.01
2012,IA,VA,7,Other prepared foodstuffs and preparations,210.35
2017,IA,VA,7,Other prepared foodstuffs and preparations,218.52
2012,IA,VT,4,"Animal feed, eggs, honey, other products of animal origin",14.77
2017,IA,VT,4,"Animal feed, eggs, honey, other products of animal origin",16.25
2012,IA,VT,5,"Meat, poultry, fish, seafood, and preparations",9.71
2017,IA,VT,5,"Meat, poultry, fish, seafood, and preparations",10.62
2012,IA,VT,6,Milled grain products and preparations and bakery products,0.04
2017,IA,VT,6,Milled grain products and preparations and bakery products,0.04
2012,IA,VT,7,Other prepared foodstuffs and preparations,39.00
2017,IA,VT,7,Other prepared foodstuffs and preparations,40.51
2012,IA,WA,3,"Agricultural products (excl. feed, grains, and forage)",651.32
2017,IA,WA,3,"Agricultural products (excl. feed, grains, and forage)",808.47
2012,IA,WA,4,"Animal feed, eggs, honey, other products of animal origin",1.99
2017,IA,WA,4,"Animal feed, eggs, honey, other products of animal origin",2.19
2012,IA,WA,5,"Meat, poultry, fish, seafood, and preparations",152.73
2017,IA,WA,5,"Meat, poultry, fish, seafood, and preparations",167.02
2012,IA,WA,6,Milled grain products and preparations and bakery products,32.92
2017,IA,WA,6,Milled grain products and preparations and bakery products,34.29
2012,IA,WA,7,Other prepared foodstuffs and preparations,128.01
2017,IA,WA,7,Other prepared foodstuffs and preparations,132.98
2012,IA,WI,2,Cereal grains and seed,77.54
2017,IA,WI,2,Cereal grains and seed,107.60
2012,IA,WI,3,"Agricultural products (excl. feed, grains, and forage)",66.40
2017,IA,WI,3,"Agricultural products (excl. feed, grains, and forage)",82.42
2012,IA,WI,4,"Animal feed, eggs, honey, other products of animal origin",559.23
2017,IA,WI,4,"Animal feed, eggs, honey, other products of animal origin",615.31
2012,IA,WI,5,"Meat, poultry, fish, seafood, and preparations",639.06
2017,IA,WI,5,"Meat, poultry, fish, seafood, and preparations",698.89
